"";"D. execució";"D. valor";"Concepte";"Import";"Saldo"
"";"30/04/2022";"30/04/2022";"COMPRA TARJETA DEBITO/CREDITO ESCLATOIL PIERA TJ*0011";"-60,00";"1.257,60"
"";"29/04/2022";"29/04/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-15,64";"1.317,60"
"";"28/04/2022";"28/04/2022";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-11,16";"1.333,24"
"";"27/04/2022";"27/04/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA CASANOVA-QUEJIGO TJ*5783";"-16,59";"1.344,40"
"";"27/04/2022";"27/04/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-32,10";"1.360,99"
"";"27/04/2022";"25/04/2022";"COMPRA TARJETA DEBITO/CREDITO Strato TJ*5783";"-18,03";"1.393,09"
"";"26/04/2022";"26/04/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"1.411,12"
"";"26/04/2022";"26/04/2022";"COMPRA TARJETA DEBITO/CREDITO WOMEN SECRET TJ*0011";"-133,12";"1.411,47"
"";"26/04/2022";"26/04/2022";"COMPRA TARJETA DEBITO/CREDITO TAES MOTOR S.A. TJ*5783";"-132,60";"1.544,59"
"";"26/04/2022";"26/04/2022";"COMPRA TARJETA DEBITO/CREDITO MERCADONA MERCAT GINEUETA TJ*5783";"-3,00";"1.677,19"
"";"25/04/2022";"25/04/2022";"RECIBO PayPal (Europe) S.a r.l. et Cie, S.C.A.";"-109,66";"1.680,19"
"";"24/04/2022";"24/04/2022";"COMPRA TARJETA DEBITO/CREDITO NOMINALIA TJ*5783";"-402,57";"1.789,85"
"";"23/04/2022";"23/04/2022";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-12,75";"2.192,42"
"";"23/04/2022";"23/04/2022";"COMPRA TARJETA DEBITO/CREDITO ALDI IGUALADA TJ*0011";"-46,52";"2.205,17"
"";"23/04/2022";"23/04/2022";"COMPRA TARJETA DEBITO/CREDITO TAGLIATELLA IGUALADA TJ*0011";"-66,65";"2.251,69"
"";"23/04/2022";"23/04/2022";"COMPRA TARJETA DEBITO/CREDITO CAL RABEL TJ*0011";"-41,23";"2.318,34"
"";"23/04/2022";"23/04/2022";"COMPRA TARJETA DEBITO/CREDITO CAL PASSANALS TJ*0011";"-16,65";"2.359,57"
"";"21/04/2022";"21/04/2022";"COMPRA TARJETA DEBITO/CREDITO ESCLATOIL PIERA TJ*0011";"-55,00";"2.376,22"
"";"21/04/2022";"21/04/2022";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-14,69";"2.431,22"
"";"21/04/2022";"21/04/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-30,00";"2.445,91"
"";"20/04/2022";"20/04/2022";"COMPRA TARJETA DEBITO/CREDITO OUTLET DILLEPASA TJ*0011";"-12,90";"2.475,91"
"";"20/04/2022";"20/04/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"2.488,81"
"";"19/04/2022";"19/04/2022";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-24,75";"2.489,16"
"";"19/04/2022";"19/04/2022";"COMPRA TARJETA DEBITO/CREDITO TALLERS PIERA SCP TJ*0011";"-649,89";"2.513,91"
"";"16/04/2022";"16/04/2022";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-36,00";"3.163,80"
"";"16/04/2022";"16/04/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-20,65";"3.199,80"
"";"15/04/2022";"15/04/2022";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-10,32";"3.220,45"
"";"14/04/2022";"14/04/2022";"COMPRA TARJETA DEBITO/CREDITO MES MERCAT SL TJ*0011";"-17,42";"3.230,77"
"";"13/04/2022";"13/04/2022";"COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011";"-40,85";"3.248,19"
"";"13/04/2022";"13/04/2022";"RECIBO SIMYO";"-10,00";"3.289,04"
"";"13/04/2022";"13/04/2022";"RECIBO SIMYO";"-14,84";"3.299,04"
"";"12/04/2022";"12/04/2022";"COMPRA TARJETA DEBITO/CREDITO MES MERCAT SL TJ*0011";"-17,74";"3.313,88"
"";"12/04/2022";"12/04/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,40";"3.331,62"
"";"12/04/2022";"12/04/2022";"COMPRA TARJETA DEBITO/CREDITO FRUITS SECS ROSET TJ*0011";"-16,60";"3.332,02"
"";"12/04/2022";"12/04/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"3.348,62"
"";"12/04/2022";"12/04/2022";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-5,93";"3.348,97"
"";"11/04/2022";"11/04/2022";"RECIBO COL.LEGI OFICIAL DE FARMACEUTICS DE BCN";"-37,23";"3.354,90"
"";"09/04/2022";"09/04/2022";"COMPRA TARJETA DEBITO/CREDITO BEAUTY BY DIA IGUALADA 60 TJ*0011";"-20,30";"3.392,13"
